2025-10-26 11:09:42 | INFO | scrape_logger | Movie The Royal Opera: Tosca already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Thamma already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Demon Slayer - Kimetsu no Yaiba - The Movie: Infinity Castle already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Jurassic World: Rebirth already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Regretting You already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Chainsaw Man - The Movie: Reze Arc already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Idli Kadai already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie No Other Land already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie One Battle After Another already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Truth & Treason already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | Movie Tron: Ares already exists.
2025-10-26 11:09:42 | INFO | scrape_logger | No new Movies found.
2025-10-26 11:19:15 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:20:04 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:20:05 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:20:05 | INFO | scrape_logger | Found 0 movies.
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Neera...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Moda Tharidu...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Dude...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Bison Kaalamaadan...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Diesel...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Mother Lanka...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Ayu...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Kantara: A Legend Chapter-1...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - The Conjuring: Last Rites...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - The Royal Opera: Tosca...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Thamma...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Demon Slayer - Kimetsu no Yaiba - The Movie: Infinity Castle...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Jurassic World: Rebirth...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Regretting You...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Chainsaw Man - The Movie: Reze Arc...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Idli Kadai...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - No Other Land...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - One Battle After Another...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Truth & Treason...
2025-10-26 11:20:05 | INFO | scrape_logger | Adding New Movie - Tron: Ares...
2025-10-26 11:20:06 | INFO | scrape_logger | Saving Movie - 20 Movies...
2025-10-26 11:20:06 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:20:07 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:20:07 | INFO | scrape_logger | Inserted 20 document into MongoDB.
2025-10-26 11:26:25 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:27:10 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:27:16 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:29:00 | INFO | scrape_logger | Started Job...
2025-10-26 11:29:00 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:29:07 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:29:09 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:29:09 | INFO | scrape_logger | Found 0 movies.
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Neera...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Moda Tharidu...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Dude...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Bison Kaalamaadan...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Diesel...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Mother Lanka...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Ayu...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Kantara: A Legend Chapter-1...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - The Conjuring: Last Rites...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - The Royal Opera: Tosca...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Thamma...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Demon Slayer - Kimetsu no Yaiba - The Movie: Infinity Castle...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Jurassic World: Rebirth...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Regretting You...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Chainsaw Man - The Movie: Reze Arc...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Idli Kadai...
